"","date","FBCF","PIB","POUP","NFSP","TT","WP","ER","IR","IBOV","EMBI","LINF","LAGR","LIND","LCOM","LTOT","IIE","ICI","ICE","CURI","CIB"
"73",2008-11-01,294248.164834559,1524247.92938077,278511.577063025,-3.69,105.87,94.9198258865081,100.66,6.81455023968418,35908.4210526316,467.736842105263,2549.33630093083,2825.56326662749,626.743666741345,1107.73062447843,7027.81464038617,128.2,82.3,83.8,83.1,98.88
"74",2008-12-01,284894.029921757,1513004.07789585,266215.428483901,-3.33,104.3,92.0582312709937,107.19,7.32766761095374,37557.75,478.545454545455,2244.61935792929,3804.88001350633,428.41892227953,820.744382919151,7332.05591394344,121.8,74,74.9,78.7,97.98
"75",2009-01-01,274832.472551572,1501128.41602597,252594.07000969,-2.89,97.05,89.6288730187279,101.33,7.06727135298564,39568.2857142857,429.333333333333,2180.99760903267,2915.77149722268,374.466890799816,866.788657129562,6206.13836491745,120,75.3,75.4,77.4,96.97
"76",2009-02-01,269073.700642185,1494189.12081147,243160.795313545,-2.74,98.86,89.2274893167681,99.54,6.3833805476865,40174.2777777778,429.2,2353.11783879366,3729.83416174361,362.205947524002,927.603964763986,7399.93240482696,123.6,76.3,78.3,77.2,93.49
"77",2009-03-01,269674.417465969,1500348.67156256,240761.161387531,-2.56,99.85,89.2787295099767,97.4,5.76649938452798,39693.3778709746,433.681818181818,4740.31398429736,3891.45618532022,451.681803920254,871.062310787187,9913.70376939033,125.6,78.6,80.7,77.2,91.32
"78",2009-04-01,274468.711333711,1509245.09618039,242528.373446837,-2.3,100.71,89.6509217451494,95.38,5.28759594428125,44980.0622550585,382.952380952381,3635.8915169612,3389.95732064963,595.269987524851,1257.37467961162,8867.40669201827,117.1,84.4,87.5,77.3,90.71
"79",2009-05-01,280486.842983518,1519675.68272355,243746.645802016,-2.09,100.76,90.3961612475837,89.91,4.71482889733839,50893,313.190476190476,3490.79013088165,2243.8416529666,652.532970470233,754.088083983308,7332.18627571475,111.8,88.4,90.9,78,90.81
"80",2009-06-01,287556.873742708,1531831.41353764,243528.096046637,-1.87,102.4,91.203604780748,87.38,4.52290076335877,52061.0476190476,281.090909090909,3312.00578339254,4142.79337169053,659.487215597846,1320.04590321638,9768.10817784918,109.1,93.8,94,78.4,87.34
"81",2009-07-01,295755.884614195,1547179.98453474,243711.473346074,-1.6,102.07,91.9946691841551,86.38,4.31578947368423,52068.0454545455,270.217391304348,7471.10095355669,21236.4079841722,568.337923364361,1498.65084138837,31019.0646507247,109,97.6,97.6,78.1,85.87
"82",2009-08-01,305019.16848685,1569860.49049428,248957.807585453,-1.46,102.7,92.7528375486689,82.86,4.1107704101188,56662.3333333333,252.428571428571,2699.49082848534,3259.62564842717,645.787257084583,2285.47039636241,8790.23510921733,106.8,100.6,102.8,79.3,86.52
"83",2009-09-01,315259.876797243,1598207.42622512,261347.714085343,-1.07,106.08,93.9869178576525,82.13,4.130726471152,59195.1428571429,240.681818181818,4362.77435216181,6526.96813026262,781.376702490939,1564.82805593948,12989.7717715847,109,106.1,107.1,80.5,85.82
"84",2009-10-01,326409.700552518,1630074.21886319,279291.522570917,-0.94,106.63,94.6571795856479,79.15,4.30066237880387,63989.9047619048,226.727272727273,4111.75556468125,3622.04429590025,551.137806981786,1666.07670707515,9926.87127655498,106,109.5,108.1,81,86.38
"85",2009-11-01,334244.495783553,1652769.49487694,291888.788823188,-1.33,108.8,95.4526884410254,79.27,4.2506236806755,65999.8421052632,220.904761904762,3431.13314882852,3870.34712763471,622.573166859073,1499.88323211488,9329.15239776448,101.9,111.2,107.9,81.9,87.68
"86",2009-12-01,338295.826602317,1666937.62257733,294507.805352464,-1.94,112.29,95.8925991989311,79.87,4.16067491132204,68109.5,205.136363636364,4946.91759061607,3688.95633019034,607.253254502558,1931.95732224597,11156.07346306,99.5,112.8,108.1,82.5,91.77
"87",2010-01-01,337808.374737393,1667746.10912547,289003.742982472,-2.18,113.09,96.999651840068,79.59,3.88182426618224,68578.1578947368,208.210526315789,4853.14212404615,3020.72340799173,864.487375906885,2262.90752370236,10801.9487867696,103.2,113.2,109.2,82.4,96.36
